Pais,Año,PIB,Pobreza,Tasa de empleo,Mortalidad,Alfabetizacion,Años de estudio
Paraguay,2019,6137.0,71.8,-2.49,16.4,87.2,10.0
Paraguay,2020,6006.0,70.6,-1.24,15.9,87.2,10.1
Perú,1990,2832.0,67.0,-1.63,56.4,87.2,8.6
Perú,1991,2851.0,67.0,-2.73,53.7,87.2,8.6
Perú,1992,2782.0,67.0,-2.24,50.4,87.2,8.6
Perú,1993,2856.0,67.0,-2.2,47.5,87.2,8.6
Perú,1994,3159.0,67.0,-1.64,44.5,87.7,8.6
Perú,1995,3329.0,67.0,-1.9,41.7,87.7,8.6
Perú,1996,3359.0,67.0,-1.55,39.0,87.7,8.6
Perú,1997,3512.0,67.0,-1.28,36.5,87.7,8.6
Perú,1998,3437.0,67.0,-1.39,34.1,87.7,8.6
Perú,1999,3431.0,67.0,-2.32,31.7,87.7,8.6
Perú,2000,3470.0,67.0,-3.54,28.9,87.7,8.6
Perú,2001,3445.0,67.0,-4.76,26.9,87.7,8.6
Perú,2002,3590.0,67.2,-5.73,25.1,87.7,8.8
Perú,2003,3701.0,68.4,-6.54,23.5,87.7,8.8
Perú,2004,3847.0,70.0,-6.93,22.0,87.7,8.9
Perú,2005,4051.0,67.8,-7.84,20.7,87.9,8.9
Perú,2006,4321.0,71.1,-8.13,19.5,88.7,9.1
Perú,2007,4653.0,73.4,-8.24,18.4,89.6,9.4
Perú,2008,5041.0,73.0,-8.13,17.4,93.8,9.3
Perú,2009,5061.0,73.7,-7.53,16.5,93.8,9.5
Perú,2010,5441.0,74.1,-6.18,15.7,93.8,9.5
Perú,2011,5737.0,73.9,-5.02,14.9,93.8,9.6
Perú,2012,6033.0,73.8,-3.98,14.3,93.8,9.8
Perú,2013,6325.0,73.6,-3.16,13.7,93.7,9.8
Perú,2014,6408.0,73.1,-1.66,13.1,93.7,9.8
Perú,2015,6539.0,72.5,0.08,12.6,94.2,9.8
Perú,2016,6706.0,72.8,2.6,12.1,94.2,9.9
Perú,2017,6772.0,73.3,3.3,11.6,94.1,10.0
Perú,2018,6910.0,73.3,10.2,11.1,94.4,10.0
Perú,2019,6931.0,73.9,4.17,10.7,94.5,10.1
Perú,2020,6089.0,62.9,2.39,10.3,94.5,10.1
República Dominicana,1990,2720.0,56.7,-3.84,48.8,87.0,8.0
República Dominicana,1991,2689.0,56.7,-4.02,46.9,87.0,8.0
República Dominicana,1992,2912.0,56.7,-4.01,44.9,87.0,8.0
República Dominicana,1993,3062.0,56.7,-3.99,43.2,87.0,8.0
República Dominicana,1994,3072.0,56.7,-3.97,41.5,87.0,8.0
República Dominicana,1995,3181.0,56.7,-3.76,40.0,87.0,8.0
República Dominicana,1996,3347.0,56.7,-3.72,38.6,87.0,8.0
República Dominicana,1997,3554.0,56.7,-3.68,37.3,87.0,8.0
República Dominicana,1998,3742.0,56.7,-3.62,36.2,87.0,8.0
República Dominicana,1999,3932.0,56.7,-3.57,34.8,87.0,8.0
República Dominicana,2000,4092.0,56.7,-3.53,33.6,87.0,8.0
República Dominicana,2001,4104.0,55.6,-3.5,32.4,87.0,8.0
República Dominicana,2002,4279.0,56.4,-3.46,31.3,87.0,8.2
República Dominicana,2003,4209.0,55.6,-3.42,30.2,88.2,8.5
República Dominicana,2004,4206.0,56.0,-3.39,30.5,88.2,8.6
República Dominicana,2005,4535.0,55.8,-3.36,29.4,88.2,8.5
República Dominicana,2006,4954.0,57.4,-3.33,29.1,88.2,8.7
República Dominicana,2007,5306.0,57.8,-3.28,29.0,88.2,8.9
República Dominicana,2008,5407.0,58.0,-3.21,28.7,89.5,8.9
República Dominicana,2009,5388.0,55.8,-3.15,28.6,89.5,9.0
República Dominicana,2010,5761.0,57.8,-3.11,28.5,89.5,9.1
República Dominicana,2011,5864.0,58.4,-3.08,28.5,90.1,9.2
República Dominicana,2012,5947.0,58.8,-3.05,28.4,90.2,9.4
República Dominicana,2013,6160.0,58.7,-3.0,28.3,90.9,9.4
República Dominicana,2014,6514.0,59.5,-2.96,28.3,91.8,9.6
República Dominicana,2015,6882.0,60.6,-2.91,28.3,92.0,9.7
República Dominicana,2016,7256.0,61.9,-2.86,28.4,93.8,9.7
República Dominicana,2017,7509.0,62.9,-2.82,28.3,95.2,9.7
República Dominicana,2018,7945.0,64.6,-2.78,28.1,95.2,9.8
República Dominicana,2019,8257.0,65.5,-2.74,27.8,95.2,10.0
República Dominicana,2020,7620.0,60.9,-1.36,27.4,95.2,10.0
Saint Kitts y Nevis,1990,10684.0,68.1,-20.96,25.3,89.6,8.3
Saint Kitts y Nevis,1991,10510.0,68.1,-5.9,23.2,89.6,8.3
Saint Kitts y Nevis,1992,10852.0,68.1,3.8,23.7,89.6,8.3
Saint Kitts y Nevis,1993,11450.0,68.1,3.8,23.1,89.6,8.3
Saint Kitts y Nevis,1994,11885.0,68.1,3.94,23.4,89.6,8.3
Saint Kitts y Nevis,1995,12377.0,68.1,3.37,23.3,89.6,8.3
Saint Kitts y Nevis,1996,12918.0,68.1,3.49,23.3,89.6,8.3
Saint Kitts y Nevis,1997,13610.0,68.1,2.8,22.2,89.6,8.3
Saint Kitts y Nevis,1998,13391.0,68.1,3.33,22.7,89.6,8.3
Saint Kitts y Nevis,1999,13637.0,68.1,3.87,19.9,89.6,8.3
Saint Kitts y Nevis,2000,15261.0,68.1,5.47,16.8,89.6,8.3
Saint Kitts y Nevis,2001,15857.0,68.1,-0.11,17.8,89.6,8.3
Saint Kitts y Nevis,2002,15997.0,68.1,-4.21,17.9,89.6,8.3
Saint Kitts y Nevis,2003,15371.0,68.1,-4.6,17.9,89.6,8.3
Saint Kitts y Nevis,2004,15914.0,68.1,-4.88,15.6,89.6,8.3
Saint Kitts y Nevis,2005,17504.0,68.1,-4.74,15.4,89.6,8.3
Saint Kitts y Nevis,2006,17995.0,68.1,-4.36,15.6,89.6,8.3
Saint Kitts y Nevis,2007,18166.0,68.1,-4.08,15.3,89.6,8.3
Saint Kitts y Nevis,2008,19245.0,68.1,-3.68,14.8,89.6,8.3
Saint Kitts y Nevis,2009,18550.0,68.1,-3.61,13.7,89.6,8.3
Saint Kitts y Nevis,2010,18501.0,68.1,-3.37,12.8,89.6,8.3
Saint Kitts y Nevis,2011,18721.0,68.1,0.0,10.4,89.6,8.3
Saint Kitts y Nevis,2012,18584.0,68.1,-3.99,9.5,89.6,8.3
Saint Kitts y Nevis,2013,19604.0,68.1,-3.99,10.7,89.6,8.3
Saint Kitts y Nevis,2014,21090.0,68.1,-3.99,13.0,89.6,8.3
Saint Kitts y Nevis,2015,21240.0,68.1,-3.99,14.6,89.6,8.3
Saint Kitts y Nevis,2016,22075.0,68.1,-3.99,7.8,89.6,8.3
Saint Kitts y Nevis,2017,22077.0,68.1,-3.99,7.6,89.6,8.3
Saint Kitts y Nevis,2018,22530.0,68.1,-3.99,9.0,89.6,8.3
Saint Kitts y Nevis,2019,23491.0,68.1,-4.0,8.8,89.6,8.3
Saint Kitts y Nevis,2020,20120.0,68.1,-4.0,8.6,89.6,8.3
San Vicente y las Granadinas,1990,3876.0,68.1,-16.88,20.0,89.6,8.3
San Vicente y las Granadinas,1991,3909.0,68.1,-14.04,19.4,89.6,8.3
San Vicente y las Granadinas,1992,4144.0,68.1,-14.08,19.3,89.6,8.3
San Vicente y las Granadinas,1993,4305.0,68.1,-14.14,18.8,89.6,8.3
San Vicente y las Granadinas,1994,4240.0,68.1,-14.2,18.7,89.6,8.3
San Vicente y las Granadinas,1995,4557.0,68.1,-14.26,18.7,89.6,8.3
San Vicente y las Granadinas,1996,4612.0,68.1,-14.28,18.8,89.6,8.3
San Vicente y las Granadinas,1997,4774.0,68.1,-14.43,18.8,89.6,8.3
San Vicente y las Granadinas,1998,4973.0,68.1,-14.54,18.8,89.6,8.3
San Vicente y las Granadinas,1999,5117.0,68.1,-14.47,18.8,89.6,8.3
San Vicente y las Granadinas,2000,5210.0,68.1,-14.12,18.7,89.6,8.3
San Vicente y las Granadinas,2001,5310.0,68.1,-13.66,18.6,89.6,8.3
San Vicente y las Granadinas,2002,5604.0,68.1,-13.46,18.6,89.6,8.3
San Vicente y las Granadinas,2003,5995.0,68.1,-14.91,18.4,89.6,8.3
San Vicente y las Granadinas,2004,6269.0,68.1,-15.21,18.2,89.6,8.3
San Vicente y las Granadinas,2005,6460.0,68.1,-15.56,18.1,89.6,8.3
San Vicente y las Granadinas,2006,6949.0,68.1,-15.85,18.0,89.6,8.3
San Vicente y las Granadinas,2007,7219.0,68.1,-15.39,17.8,89.6,8.3
San Vicente y las Granadinas,2008,7281.0,68.1,-14.87,17.6,89.6,8.3
San Vicente y las Granadinas,2009,7213.0,68.1,-14.99,17.2,89.6,8.3
San Vicente y las Granadinas,2010,6922.0,68.1,-15.07,16.8,89.6,8.3
San Vicente y las Granadinas,2011,6918.0,68.1,-15.2,16.3,89.6,8.3
San Vicente y las Granadinas,2012,7038.0,68.1,-14.41,15.8,89.6,8.3
San Vicente y las Granadinas,2013,7258.0,68.1,-14.5,16.4,89.6,8.3
San Vicente y las Granadinas,2014,7376.0,68.1,-12.04,14.8,89.6,8.3
San Vicente y las Granadinas,2015,7610.0,68.1,-12.09,14.3,89.6,8.3
San Vicente y las Granadinas,2016,7963.0,68.1,-12.15,13.8,89.6,8.3
San Vicente y las Granadinas,2017,8124.0,68.1,-8.0,13.3,89.6,8.3
San Vicente y las Granadinas,2018,8398.0,68.1,-7.64,12.9,89.6,8.3
San Vicente y las Granadinas,2019,8486.0,68.1,-7.2,12.5,89.6,8.3
San Vicente y las Granadinas,2020,8192.0,68.1,-3.62,12.1,89.6,8.3
Santa Lucía,1990,8304.0,68.1,-8.47,18.2,89.6,8.3
Santa Lucía,1991,8220.0,68.1,-7.4,17.7,89.6,8.3
Santa Lucía,1992,8746.0,68.1,-5.02,17.3,89.6,8.3
Santa Lucía,1993,8667.0,68.1,-6.07,16.9,89.6,8.3
Santa Lucía,1994,8688.0,68.1,-6.62,16.7,89.6,8.3
Santa Lucía,1995,8742.0,68.1,-7.0,16.3,89.6,8.3
Santa Lucía,1996,8898.0,68.1,-6.97,16.1,89.6,8.3
Santa Lucía,1997,8751.0,68.1,-6.49,15.8,89.6,8.3
Santa Lucía,1998,9218.0,68.1,-5.58,15.6,89.6,8.3
Santa Lucía,1999,9380.0,68.1,-3.92,15.5,89.6,8.3
Santa Lucía,2000,9314.0,68.1,-4.84,15.4,89.6,8.3
Santa Lucía,2001,8935.0,68.1,-3.46,15.3,89.6,8.3
Santa Lucía,2002,8906.0,68.1,-1.48,15.3,89.6,8.3
Santa Lucía,2003,9217.0,68.1,-1.12,15.3,89.6,8.3
Santa Lucía,2004,9815.0,68.1,-0.72,15.4,89.6,8.3
Santa Lucía,2005,9704.0,68.1,-0.53,15.5,89.6,8.3
Santa Lucía,2006,10237.0,68.1,-0.47,15.6,89.6,8.3
Santa Lucía,2007,10386.0,68.1,-0.16,15.8,89.6,8.3
Santa Lucía,2008,10826.0,68.1,0.35,15.9,89.6,8.3
Santa Lucía,2009,10589.0,68.1,1.18,16.2,89.6,8.3
Santa Lucía,2010,10563.0,68.1,2.57,16.5,89.6,8.3
Santa Lucía,2011,10943.0,68.1,1.05,16.1,89.6,8.3
Santa Lucía,2012,10868.0,68.1,0.06,16.1,89.6,8.3
Santa Lucía,2013,10595.0,68.1,0.0,16.4,89.6,8.3
Santa Lucía,2014,10686.0,68.1,0.0,15.3,89.6,8.3
Santa Lucía,2015,10648.0,68.1,0.0,14.6,89.6,8.3
Santa Lucía,2016,10964.0,68.1,0.0,13.9,89.6,8.3
Santa Lucía,2017,11284.0,68.1,0.0,13.2,89.6,8.3
Santa Lucía,2018,11563.0,68.1,0.0,12.5,89.6,8.3
Santa Lucía,2019,11443.0,68.1,0.0,11.8,89.6,8.3
Santa Lucía,2020,8626.0,68.1,0.0,11.8,89.6,8.3
Suriname,1990,5188.0,68.1,-15.55,38.8,89.6,8.3
Suriname,1991,5272.0,68.1,-14.73,37.6,89.6,8.3
Suriname,1992,5270.0,68.1,-13.41,36.3,89.6,8.3
Suriname,1993,4957.0,68.1,-17.11,35.1,89.6,8.3
Suriname,1994,4745.0,68.1,-6.34,33.9,89.6,8.3
Suriname,1995,4787.0,68.1,1.4,32.7,89.6,8.3
Suriname,1996,4738.0,68.1,0.95,31.5,89.6,8.3
Suriname,1997,4747.0,68.1,0.91,30.4,89.6,8.3
Suriname,1998,4800.0,68.1,1.14,29.3,89.6,8.3
Suriname,1999,4597.0,68.1,1.34,28.3,89.6,8.3
Suriname,2000,4603.0,68.1,1.28,27.3,89.6,8.3
Suriname,2001,4782.0,68.1,1.31,26.4,89.6,8.3
Suriname,2002,4830.0,68.1,1.46,25.6,89.6,8.3
Suriname,2003,5077.0,68.1,1.47,24.8,89.6,8.3
Suriname,2004,5036.0,68.1,-3.29,24.1,89.6,8.3
Suriname,2005,5338.0,68.1,-2.98,23.4,94.6,8.3
Suriname,2006,5878.0,68.1,-2.7,22.8,94.6,8.3
Suriname,2007,6110.0,68.1,-2.49,22.1,94.6,8.3
Suriname,2008,6291.0,68.1,-2.37,21.6,94.6,8.3
Suriname,2009,6408.0,68.1,-2.25,21.0,94.7,8.3
Suriname,2010,6664.0,68.1,-2.1,20.5,94.7,8.3
Suriname,2011,6977.0,68.1,-1.93,20.0,92.9,8.3
Suriname,2012,7087.0,68.1,-1.81,19.5,92.9,8.3
Suriname,2013,7220.0,68.1,-1.73,19.0,95.0,8.3
Suriname,2014,7165.0,68.1,-1.7,18.6,95.0,8.3
Suriname,2015,6851.0,68.1,-1.7,18.1,95.0,8.3
Suriname,2016,6447.0,68.1,-1.56,17.6,95.0,8.3
Suriname,2017,6480.0,68.1,-1.61,17.1,95.0,8.3
Suriname,2018,6731.0,68.1,-1.45,16.6,95.0,8.3
Suriname,2019,6730.0,68.1,0.34,16.2,95.0,8.3
Suriname,2020,5595.0,68.1,-0.52,15.7,95.0,8.3
Trinidad y Tabago,1990,7362.0,68.1,-6.2,26.5,96.9,8.3
Trinidad y Tabago,1991,7502.0,68.1,-5.59,26.1,97.9,8.3
Trinidad y Tabago,1992,7325.0,68.1,-5.16,25.7,97.9,8.3
Trinidad y Tabago,1993,7172.0,68.1,-5.05,25.5,97.9,8.3
Trinidad y Tabago,1994,7385.0,68.1,-5.07,25.2,97.9,8.3
Trinidad y Tabago,1995,7640.0,68.1,-5.13,25.0,97.9,8.3
Trinidad y Tabago,1996,8150.0,68.1,-5.18,24.8,97.9,8.3
Trinidad y Tabago,1997,8731.0,68.1,-5.2,24.7,97.9,8.3
Trinidad y Tabago,1998,9409.0,68.1,-5.08,24.6,97.9,8.3
Trinidad y Tabago,1999,10130.0,68.1,-4.59,24.6,97.9,8.3
Trinidad y Tabago,2000,10787.0,68.1,-3.88,24.5,97.9,8.3
Trinidad y Tabago,2001,11183.0,68.1,-3.17,24.3,96.8,8.3
Trinidad y Tabago,2002,12004.0,68.1,-2.68,24.1,96.8,8.3
Trinidad y Tabago,2003,13662.0,68.1,-2.56,23.7,96.8,8.3
Trinidad y Tabago,2004,14664.0,68.1,-2.57,23.3,96.8,8.3
Trinidad y Tabago,2005,15485.0,68.1,-2.62,22.8,96.8,8.3
Trinidad y Tabago,2006,17431.0,68.1,-2.67,22.2,96.8,8.3
Trinidad y Tabago,2007,18154.0,68.1,-2.69,21.6,96.8,8.3
Trinidad y Tabago,2008,18664.0,68.1,-2.6,21.1,96.8,8.3
Trinidad y Tabago,2009,17737.0,68.1,-2.18,20.5,96.8,8.3
Trinidad y Tabago,2010,18208.0,68.1,-1.58,19.9,96.8,8.3
Trinidad y Tabago,2011,18030.0,68.1,-0.99,19.4,96.8,8.3
Trinidad y Tabago,2012,18131.0,68.1,-0.62,18.8,96.8,8.3
Trinidad y Tabago,2013,18693.0,68.1,-0.55,18.3,96.8,8.3
Trinidad y Tabago,2014,19181.0,68.1,-0.55,17.7,96.8,8.3
Trinidad y Tabago,2015,18913.0,68.1,-0.4,17.2,96.8,8.3
Trinidad y Tabago,2016,17524.0,68.1,-0.07,16.7,96.8,8.3
Trinidad y Tabago,2017,16594.0,68.1,0.98,16.2,96.8,8.3
Trinidad y Tabago,2018,16164.0,68.1,23.88,16.1,96.8,8.3
Trinidad y Tabago,2019,16019.0,68.1,-12.58,15.5,96.8,8.3
Trinidad y Tabago,2020,14808.0,68.1,1.56,15.0,96.8,8.3
Uruguay,1990,9397.0,68.1,-2.4,19.5,96.8,8.3
Uruguay,1991,9673.0,68.1,-2.46,19.0,96.8,8.3
Uruguay,1992,10379.0,68.1,-2.49,18.7,96.8,8.3
Uruguay,1993,10595.0,68.1,-2.49,18.4,96.8,8.3
Uruguay,1994,11301.0,68.1,-2.49,18.1,96.8,8.3
Uruguay,1995,11074.0,68.1,-2.59,17.7,96.8,8.3
Uruguay,1996,11625.0,68.1,-2.29,17.2,96.8,8.3
Uruguay,1997,12142.0,68.1,-2.14,16.6,97.8,8.3
Uruguay,1998,12623.0,68.1,-2.16,15.9,97.8,8.3
Uruguay,1999,12316.0,68.1,-2.27,15.2,97.8,8.3
Uruguay,2000,12030.0,68.1,-3.36,14.6,97.8,8.3
Uruguay,2001,11537.0,68.1,-4.42,14.0,97.8,8.3
Uruguay,2002,10627.0,68.1,-5.12,13.5,97.8,8.3
Uruguay,2003,10701.0,68.1,-5.15,12.9,97.8,8.3
Uruguay,2004,11224.0,68.1,-4.72,12.3,97.8,8.3
Uruguay,2005,12047.0,68.1,-4.84,11.7,97.8,8.3
Uruguay,2006,12524.0,68.1,-3.95,11.1,97.8,8.3
Uruguay,2007,13317.0,68.1,-3.22,10.6,97.9,8.3
Uruguay,2008,14241.0,69.4,-2.83,10.1,98.2,9.4
Uruguay,2009,14809.0,69.7,-2.54,9.7,98.3,9.5
Uruguay,2010,15925.0,70.0,-2.29,9.3,98.1,9.6
Uruguay,2011,16702.0,71.5,-2.08,9.1,98.3,9.9
Uruguay,2012,17245.0,70.9,-1.87,8.9,98.4,10.0
Uruguay,2013,17990.0,70.6,-1.67,8.6,98.4,10.0
Uruguay,2014,18516.0,71.1,-1.45,8.2,98.4,10.0
Uruguay,2015,18524.0,69.6,-1.22,7.6,98.5,10.1
Uruguay,2016,18776.0,69.1,-1.03,6.8,98.6,10.1
Uruguay,2017,19056.0,68.7,-0.9,6.1,98.6,10.3
Uruguay,2018,19059.0,67.9,-0.86,5.6,98.7,10.3
Uruguay,2019,19193.0,67.6,-0.85,5.3,98.8,10.4
Uruguay,2020,17987.0,65.1,-0.43,4.7,89.8,10.5
Venezuela (República Bolivariana de),1990,7261.0,58.3,0.0,24.5,89.8,8.3
Venezuela (República Bolivariana de),1991,7781.0,58.3,-0.01,23.7,93.0,8.3
Venezuela (República Bolivariana de),1992,8063.0,58.3,-0.02,23.1,93.0,8.3
Venezuela (República Bolivariana de),1993,7905.0,58.3,-0.02,22.7,93.0,8.3
Venezuela (República Bolivariana de),1994,7552.0,58.3,-0.03,22.3,93.0,8.3
Venezuela (República Bolivariana de),1995,7685.0,58.3,-0.03,21.9,93.0,8.3
Venezuela (República Bolivariana de),1996,7512.0,58.3,-0.03,21.3,93.0,8.3
Venezuela (República Bolivariana de),1997,7829.0,58.3,-0.04,20.5,93.0,8.3
Venezuela (República Bolivariana de),1998,7696.0,58.3,-0.04,19.7,93.0,8.3
Venezuela (República Bolivariana de),1999,7097.0,58.3,-0.06,19.2,93.0,8.3
Venezuela (República Bolivariana de),2000,7220.0,58.3,-0.08,18.2,93.0,8.3
Venezuela (República Bolivariana de),2001,7329.0,61.3,-0.12,17.6,93.0,8.4
Venezuela (República Bolivariana de),2002,6561.0,60.3,-0.16,17.2,95.2,8.4
Venezuela (República Bolivariana de),2003,5947.0,60.1,-0.22,16.7,95.2,8.5
Venezuela (República Bolivariana de),2004,6915.0,61.1,-0.41,16.2,95.2,8.5
Venezuela (República Bolivariana de),2005,7502.0,61.2,-0.69,15.7,95.2,8.8
Venezuela (República Bolivariana de),2006,8110.0,62.2,-1.0,15.1,95.2,9.0
Venezuela (República Bolivariana de),2007,8685.0,62.9,-1.31,14.8,95.2,9.1
Venezuela (República Bolivariana de),2008,9009.0,63.7,-1.56,14.5,95.5,9.2
Venezuela (República Bolivariana de),2009,8600.0,62.8,-1.77,14.4,95.5,9.4
Venezuela (República Bolivariana de),2010,8357.0,62.4,-1.84,14.5,94.8,9.6
Venezuela (República Bolivariana de),2011,8592.0,62.9,-1.87,14.5,94.8,9.8
Venezuela (República Bolivariana de),2012,8961.0,62.6,-1.87,14.7,96.6,9.9
Venezuela (República Bolivariana de),2013,8969.0,63.5,-1.94,14.9,96.6,10.1
Venezuela (República Bolivariana de),2014,8518.0,64.5,-2.07,15.2,96.6,10.2
Venezuela (República Bolivariana de),2015,7900.0,64.5,-2.53,15.5,96.6,10.2
Venezuela (República Bolivariana de),2016,6509.0,64.5,-9.17,15.7,97.1,10.2
Venezuela (República Bolivariana de),2017,5521.0,64.5,-26.41,15.8,97.5,10.2
Venezuela (República Bolivariana de),2018,4547.0,64.5,-44.49,15.8,97.5,10.2
Venezuela (República Bolivariana de),2019,4547.0,64.5,-33.16,15.8,97.5,10.2
Venezuela (República Bolivariana de),2020,4547.0,64.5,-18.27,15.7,97.5,10.2
